candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,865,Alabama,Autauga,-86.4997,32.5792,37351,0.023158684,0.000269058
Clinton,5936,Alabama,Autauga,-86.4997,32.5792,37351,0.158924795,0.001846393
Trump,18172,Alabama,Autauga,-86.4997,32.5792,37351,0.486519772,0.005652401
All_Others,3874,Alabama,Baldwin,-87.7763,30.6011,137045,0.028268087,0.001205008
Clinton,18458,Alabama,Baldwin,-87.7763,30.6011,137045,0.134685687,0.005741361
Trump,72883,Alabama,Baldwin,-87.7763,30.6011,137045,0.531818016,0.022670259
All_Others,144,Alabama,Barbour,-85.355,31.8173,16391,0.008785309,4.48E-05
Clinton,4871,Alabama,Barbour,-85.355,31.8173,16391,0.297175279,0.001515125
Trump,5454,Alabama,Barbour,-85.355,31.8173,16391,0.332743579,0.001696467
All_Others,207,Alabama,Bibb,-87.1423,32.9563,13255,0.015616748,6.44E-05
Clinton,1874,Alabama,Bibb,-87.1423,32.9563,13255,0.141380611,0.000582908
Trump,6738,Alabama,Bibb,-87.1423,32.9563,13255,0.508336477,0.002095855
All_Others,573,Alabama,Blount,-86.4997,34.0145,37201,0.015402812,0.000178232
Clinton,2156,Alabama,Blount,-86.4997,34.0145,37201,0.057955431,0.000670624
Trump,22859,Alabama,Blount,-86.4997,34.0145,37201,0.614472729,0.007110292
All_Others,40,Alabama,Bullock,-85.7256,32.0574,7245,0.005521049,1.24E-05
Clinton,3530,Alabama,Bullock,-85.7256,32.0574,7245,0.487232574,0.001098007
Trump,1140,Alabama,Bullock,-85.7256,32.0574,7245,0.157349896,0.000354597
All_Others,105,Alabama,Butler,-88.222,32.0896,13128,0.007998172,3.27E-05
Clinton,3726,Alabama,Butler,-88.222,32.0896,13128,0.283820841,0.001158972
Trump,4901,Alabama,Butler,-88.222,32.0896,13128,0.373324193,0.001524456
All_Others,1757,Alabama,Calhoun,-85.8077,33.7702,73365,0.023948749,0.000546515
Clinton,13242,Alabama,Calhoun,-85.8077,33.7702,73365,0.180494786,0.004118924
Trump,32865,Alabama,Calhoun,-85.8077,33.7702,73365,0.447965651,0.010222659
All_Others,273,Alabama,Chambers,-85.355,32.9028,23106,0.011815113,8.49E-05
Clinton,5784,Alabama,Chambers,-85.355,32.9028,23106,0.250324591,0.001799113
Trump,7843,Alabama,Chambers,-85.355,32.9028,23106,0.339435644,0.002439565
All_Others,233,Alabama,Cherokee,-87.9728,34.757,16755,0.013906297,7.25E-05
Clinton,1547,Alabama,Cherokee,-87.9728,34.757,16755,0.092330648,0.000481194
Trump,8953,Alabama,Cherokee,-87.9728,34.757,16755,0.534347956,0.002784831
All_Others,377,Alabama,Chilton,-86.6611,32.9444,27878,0.013523208,0.000117266
