candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,1796,Arizona,Apache,-109.132,31.6907,48240,0.037230514,0.000500492
Clinton,17083,Arizona,Apache,-109.132,31.6907,48240,0.354125207,0.00476053
Trump,8240,Arizona,Apache,-109.132,31.6907,48240,0.170812604,0.002296246
All_Others,3842,Arizona,Cochise,-109.921,32.114,75157,0.051119656,0.001070652
Clinton,17450,Arizona,Cochise,-109.921,32.114,75157,0.232180635,0.004862802
Trump,28092,Arizona,Cochise,-109.921,32.114,75157,0.373777559,0.007828415
All_Others,4928,Arizona,Coconino,-111.475,35.6648,81461,0.060495206,0.001373289
Clinton,32404,Arizona,Coconino,-111.475,35.6648,81461,0.397785443,0.009030042
Trump,21108,Arizona,Coconino,-111.475,35.6648,81461,0.25911786,0.005882179
All_Others,1127,Arizona,Gila,-110.522,33.6371,29566,0.038118109,0.000314062
Clinton,7003,Arizona,Gila,-110.522,33.6371,29566,0.236859907,0.00195153
Trump,14182,Arizona,Gila,-110.522,33.6371,29566,0.479672597,0.003952107
All_Others,808,Arizona,Graham,-109.759,33.0768,17806,0.045377962,0.000225166
Clinton,3301,Arizona,Graham,-109.759,33.0768,17806,0.185386948,0.000919892
Trump,8025,Arizona,Graham,-109.759,33.0768,17806,0.450690778,0.002236332
All_Others,286,Arizona,Greenlee,-109.283,33.2406,4702,0.060825181,7.96998E-05
Clinton,1092,Arizona,Greenlee,-109.283,33.2406,4702,0.232241599,0.000304308
Trump,1892,Arizona,Greenlee,-109.283,33.2406,4702,0.402381965,0.000527245
All_Others,327,Arizona,La Paz,-113.954,34.0061,8884,0.036807744,9.11253E-05
Clinton,1575,Arizona,La Paz,-113.954,34.0061,8884,0.177285007,0.000438906
Trump,4003,Arizona,La Paz,-113.954,34.0061,8884,0.450585322,0.001115518
All_Others,98802,Arizona,Maricopa,-112.048,33.0581,2161716,0.045705356,0.027533213
Clinton,702907,Arizona,Maricopa,-112.048,33.0581,2161716,0.325161585,0.195879521
Trump,747361,Arizona,Maricopa,-112.048,33.0581,2161716,0.345725803,0.208267544
All_Others,3610,Arizona,Mohave,-113.763,35.2143,115339,0.03129904,0.001006001
Clinton,17455,Arizona,Mohave,-113.763,35.2143,115339,0.151336495,0.004864195
Trump,58282,Arizona,Mohave,-113.763,35.2143,115339,0.505310433,0.01624148
All_Others,2622,Arizona,Navajo,-110.14,35.402,63943,0.04100527,0.000730674
Clinton,16459,Arizona,Navajo,-110.14,35.402,63943,0.257401123,0.00458664
Trump,20577,Arizona,Navajo,-110.14,35.402,63943,0.32180223,0.005734205
All_Others,24325,Arizona,Pima,-109.828,32.8962,544270,0.044692891,0.006778663
Clinton,224661,Arizona,Pima,-109.828,32.8962,544270,0.41277491,0.062606417
Trump,167428,Arizona,Pima,-109.828,32.8962,544270,0.30761938,0.046657262
All_Others,7542,Arizona,Pinal,-111.285,32.8162,189462,0.039807455,0.002101734
Clinton,47892,Arizona,Pinal,-111.285,32.8162,189462,0.252778921,0.013346093
Trump,72819,Arizona,Pinal,-111.285,32.8162,189462,0.384346201,0.020292515
All_Others,700,Arizona,Santa Cruz,-110.808,31.5986,26276,0.02664028,0.000195069
Clinton,11690,Arizona,Santa Cruz,-110.808,31.5986,26276,0.444892678,0.003257659
Trump,3897,Arizona,Santa Cruz,-110.808,31.5986,26276,0.148310245,0.001085979
All_Others,6236,Arizona,Yavapai,-112.429,34.6464,137390,0.045389039,0.00173779
Clinton,35590,Arizona,Yavapai,-112.429,34.6464,137390,0.259043599,0.009917887
Trump,71330,Arizona,Yavapai,-112.429,34.6464,137390,0.51917898,0.019877574
All_Others,2646,Arizona,Yuma,-114.628,32.6927,84254,0.031405037,0.000737362
Clinton,24605,Arizona,Yuma,-114.628,32.6927,84254,0.292033613,0.00685669
Trump,25165,/,Yuma,-114.628,32.6927,84254,0.298680181,0.007012746
