candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,447,Arkansas,Arkansas,-91.2068,33.6087,10331,0.043267835,0.000395339
Clinton,1939,Arkansas,Arkansas,-91.2068,33.6087,10331,0.187687542,0.001714903
Trump,3826,Arkansas,Arkansas,-91.2068,33.6087,10331,0.37034169,0.003383816
All_Others,337,Arkansas,Ashley,-91.7539,33.1566,12547,0.02685901,0.000298052
Clinton,2408,Arkansas,Ashley,-91.7539,33.1566,12547,0.191918387,0.002129699
Trump,5338,Arkansas,Ashley,-91.7539,33.1566,12547,0.425440344,0.00472107
All_Others,915,Arkansas,Baxter,-92.3814,36.3262,28835,0.03173227,0.00080925
Clinton,4169,Arkansas,Baxter,-92.3814,36.3262,28835,0.144581238,0.003687175
Trump,14682,Arkansas,Baxter,-92.3814,36.3262,28835,0.50917288,0.012985152
All_Others,7948,Arkansas,Benton,-92.5868,34.5645,144070,0.055167627,0.007029423
Clinton,28005,Arkansas,Benton,-92.5868,34.5645,144070,0.194384674,0.024768369
Trump,60871,Arkansas,Benton,-92.5868,34.5645,144070,0.422509891,0.053835935
All_Others,950,Arkansas,Boone,-93.0176,36.3119,24455,0.038846862,0.000840205
Clinton,2926,Arkansas,Boone,-93.0176,36.3119,24455,0.119648334,0.002587832
Trump,12235,Arkansas,Boone,-93.0176,36.3119,24455,0.500306686,0.01082096
All_Others,172,Arkansas,Bradley,-93.6549,33.0982,5440,0.031617647,0.000152121
Clinton,1317,Arkansas,Bradley,-93.6549,33.0982,5440,0.242095588,0.00116479
Trump,2164,Arkansas,Bradley,-93.6549,33.0982,5440,0.397794118,0.001913899
All_Others,74,Arkansas,Calhoun,-92.5396,33.5021,3427,0.02159323,6.54476E-05
Clinton,639,Arkansas,Calhoun,-92.5396,33.5021,3427,0.186460461,0.000565149
Trump,1556,Arkansas,Calhoun,-92.5396,33.5021,3427,0.454041436,0.001376168
All_Others,630,Arkansas,Carroll,-93.5003,36.2987,15799,0.039875942,0.000557189
Clinton,3342,Arkansas,Carroll,-93.5003,36.2987,15799,0.211532375,0.002955754
Trump,6786,Arkansas,Carroll,-93.5003,36.2987,15799,0.429520856,0.006001719
All_Others,110,Arkansas,Chicot,-91.2891,33.342,6438,0.017086052,9.72869E-05
Clinton,2350,Arkansas,Chicot,-91.2891,33.342,6438,0.365020193,0.002078403
Trump,1716,Arkansas,Chicot,-91.2891,33.342,6438,0.266542404,0.001517676
All_Others,502,Arkansas,Clark,-93.178,34.0232,12264,0.040932811,0.000443982
Clinton,3620,Arkansas,Clark,-93.178,34.0232,12264,0.295172864,0.003201625
Trump,4404,Arkansas,Clark,-93.178,34.0232,12264,0.359099804,0.003895015
All_Others,220,Arkansas,Clay,-90.3748,36.3492,8308,0.026480501,0.000194574
Clinton,1199,Arkansas,Clay,-90.3748,36.3492,8308,0.144318729,0.001060428
Trump,3781,Arkansas,Clay,-90.3748,36.3492,8308,0.455103515,0.003344017
All_Others,526,Arkansas,Cleburne,-92.0665,35.4606,18091,0.029075231,0.000465208
Clinton,2101,Arkansas,Cleburne,-92.0665,35.4606,18091,0.116135095,0.00185818
Trump,9458,Arkansas,Cleburne,-92.0665,35.4606,18091,0.522801393,0.008364907
All_Others,169,Arkansas,Cleveland,-92.7096,35.4215,4916,0.034377543,0.000149468
Clinton,723,Arkansas,Cleveland,-92.7096,35.4215,4916,0.147070789,0.00063944
Trump,2462,Arkansas,Cleveland,-92.7096,35.4215,4916,0.50081367,0.002177458
All_Others,291,Arkansas,Columbia,-93.178,33.1285,14379,0.020237847,0.000257368
Clinton,3140,Arkansas,Columbia,-93.178,33.1285,14379,0.218374018,0.0027771
Trump,5456,Arkansas,Columbia,-93.178,33.1285,14379,0.379442242,0.004825432
All_Others,422,Arkansas,Conway,-92.4421,35.0887,11281,0.037408031,0.000373228
Clinton,2656,Arkansas,Conway,-92.4421,35.0887,11281,0.235440121,0.002349037
Trump,4849,Arkansas,Conway,-92.4421,35.0887,11281,0.42983778,0.004288585
All_Others,2143,Arkansas,Craighead,-90.6773,35.8261,59510,0.036010754,0.001895326
Clinton,10538,Arkansas,Craighead,-90.6773,35.8261,59510,0.177079482,0.009320088
Trump,22892,Arkansas,Craighead,-90.6773,35.8261,59510,0.384674845,0.020246295
All_Others,1276,Arkansas,Crawford,-94.3154,35.5763,33275,0.038347107,0.001128528
Clinton,4488,Arkansas,Crawford,-94.3154,35.5763,33275,0.134876033,0.003969307
Trump,16686,Arkansas,Crawford,-94.3154,35.5763,33275,0.501457551,0.014757543
All_Others,578,Arkansas,Crittenden,-90.3748,35.3021,30386,0.019021918,0.000511199
Clinton,8410,Arkansas,Crittenden,-90.3748,35.3021,30386,0.276772198,0.007438028
Trump,6964,Arkansas,Crittenden,-90.3748,35.3021,30386,0.229184493,0.006159147
All_Others,291,Arkansas,Cross,-90.8294,35.2999,10474,0.027783082,0.000257368
Clinton,1999,Arkansas,Cross,-90.8294,35.2999,10474,0.190853542,0.001767969
Trump,4584,Arkansas,Cross,-90.8294,35.2999,10474,0.437655146,0.004054212
