candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,43502,California,Alameda,-122.242,37.7652,888664,0.048952135,0.000747004
Clinton,514842,California,Alameda,-122.242,37.7652,888664,0.579343824,0.008840718
Trump,95922,California,Alameda,-122.242,37.7652,888664,0.107939559,0.001647145
All_Others,51,California,Alpine,-116.766,32.8351,722,0.070637119,8.76E-07
Clinton,334,California,Alpine,-116.766,32.8351,722,0.462603878,5.74E-06
Trump,217,California,Alpine,-116.766,32.8351,722,0.300554017,3.73E-06
All_Others,1245,California,Amador,-120.774,38.3489,22417,0.055538208,2.14E-05
Clinton,6004,California,Amador,-120.774,38.3489,22417,0.267832449,0.000103099
Trump,10485,California,Amador,-120.774,38.3489,22417,0.467725387,0.000180045
All_Others,8853,California,Butte,-121.537,39.6254,129275,0.068481918,0.000152021
Clinton,41567,California,Butte,-121.537,39.6254,129275,0.321539354,0.000713777
Trump,45144,California,Butte,-121.537,39.6254,129275,0.34920905,0.0007752
All_Others,1681,California,Calaveras,-120.681,38.196,29555,0.056877009,2.89E-05
Clinton,7944,California,Calaveras,-120.681,38.196,29555,0.268787007,0.000136412
Trump,13511,California,Calaveras,-120.681,38.196,29555,0.457147691,0.000232007
All_Others,420,California,Colusa,-122.009,39.2143,8638,0.048622366,7.21E-06
Clinton,2661,California,Colusa,-122.009,39.2143,8638,0.308057421,4.57E-05
Trump,3551,California,Colusa,-122.009,39.2143,8638,0.41109053,6.10E-05
All_Others,30932,California,Contra Costa,-121.902,37.8534,607515,0.050915615,0.000531155
Clinton,319287,California,Contra Costa,-121.902,37.8534,607515,0.525562332,0.005482704
Trump,115956,California,Contra Costa,-121.902,37.8534,607515,0.190869361,0.001991163
All_Others,939,California,Del Norte,-123.966,41.7076,14318,0.065581785,1.61E-05
Clinton,3485,California,Del Norte,-123.966,41.7076,14318,0.243399916,5.98E-05
Trump,5134,California,Del Norte,-123.966,41.7076,14318,0.358569633,8.82E-05
All_Others,7940,California,El Dorado,-120.841,38.6801,116459,0.068178501,0.000136343
Clinton,36404,California,El Dorado,-120.841,38.6801,116459,0.312590697,0.000625119
Trump,49247,California,El Dorado,-120.841,38.6801,116459,0.422869851,0.000845655
All_Others,16929,California,Fresno,-119.787,36.7378,437423,0.038701669,0.0002907
Clinton,141341,California,Fresno,-119.787,36.7378,437423,0.323122012,0.002427067
Trump,124049,California,Fresno,-119.787,36.7378,437423,0.283590483,0.002130134
All_Others,617,California,Glenn,-122.014,39.5218,12835,0.048071679,1.06E-05
Clinton,3065,California,Glenn,-122.014,39.5218,12835,0.238800156,5.26E-05
Trump,5788,California,Glenn,-122.014,39.5218,12835,0.450954422,9.94E-05
All_Others,7673,California,Humboldt,-123.87,40.745,82917,0.092538321,0.000131759
Clinton,33200,California,Humboldt,-123.87,40.745,82917,0.4004004,0.000570101
Trump,18373,California,Humboldt,-123.87,40.745,82917,0.221583029,0.000315496
All_Others,2720,California,Imperial,-115.569,32.8476,70189,0.038752511,4.67E-05
Clinton,32667,California,Imperial,-115.569,32.8476,70189,0.465414809,0.000560948
Trump,12704,California,Imperial,-115.569,32.8476,70189,0.180997022,0.000218149
All_Others,683,California,Inyo,-117.55,36.3092,10167,0.067178125,1.17E-05
Clinton,3155,California,Inyo,-117.55,36.3092,10167,0.310317695,5.42E-05
Trump,4248,California,Inyo,-117.55,36.3092,10167,0.417822366,7.29E-05
All_Others,15890,California,Kern,-118.86,35.4937,370804,0.042852828,0.000272858
Clinton,98689,California,Kern,-118.86,35.4937,370804,0.266148693,0.001694659
Trump,129584,California,Kern,-118.86,35.4937,370804,0.349467643,0.002225179
All_Others,2205,California,Kings,-119.882,36.0988,52124,0.04230297,3.79E-05
Clinton,13617,California,Kings,-119.882,36.0988,52124,0.261242422,0.000233827
Trump,18093,California,Kings,-119.882,36.0988,52124,0.347114573,0.000310688
All_Others,2402,California,Lake,-122.808,39.084,34706,0.069209935,4.12E-05
Clinton,11500,California,Lake,-122.808,39.084,34706,0.331354809,0.000197475
Trump,10603,California,Lake,-122.808,39.084,34706,0.305509134,0.000182072
All_Others,726,California,Lassen,-120.712,40.5394,14280,0.050840336,1.25E-05
Clinton,2224,California,Lassen,-120.712,40.5394,14280,0.155742297,3.82E-05
Trump,7574,California,Lassen,-120.712,40.5394,14280,0.530392157,0.000130059
All_Others,200201,California,Los Angeles,-118.244,34.0522,5253427,0.038108648,0.003437794
Clinton,2464364,California,Los Angeles,-118.244,34.0522,5253427,0.469096458,0.042317348
Trump,769743,California,Los Angeles,-118.244,34.0522,5253427,0.14652207,0.013217805
All_Others,2726,California,Madera,-120.061,36.9613,58086,0.046930414,4.68E-05
Clinton,17029,California,Madera,-120.061,36.9613,58086,0.29316875,0.000292417
Trump,23357,California,Madera,-120.061,36.9613,58086,0.402110663,0.00040108
All_Others,8795,California,Marin,-122.763,38.0834,160795,0.054696974,0.000151025
Clinton,108707,California,Marin,-122.763,38.0834,160795,0.676059579,0.001866685
Trump,21771,California,Marin,-122.763,38.0834,160795,0.135396001,0.000373845
All_Others,570,California,Mariposa,-119.966,37.4849,10975,0.051936219,9.79E-06
Clinton,3122,California,Mariposa,-119.966,37.4849,10975,0.284464692,5.36E-05
Trump,5185,California,Mariposa,-119.966,37.4849,10975,0.472437358,8.90E-05
All_Others,4510,California,Mendocino,-123.799,39.3077,51061,0.088325728,7.74E-05
Clinton,22079,California,Mendocino,-123.799,39.3077,51061,0.432404379,0.000379134
Trump,10888,California,Mendocino,-123.799,39.3077,51061,0.21323515,0.000186966
All_Others,4747,California,Merced,-120.483,37.3022,99145,0.047879369,8.15E-05
Clinton,37317,California,Merced,-120.483,37.3022,99145,0.376388118,0.000640797
Trump,28725,California,Merced,-120.483,37.3022,99145,0.289727167,0.000493257
All_Others,215,California,Modoc,-120.629,41.4565,5166,0.041618273,3.69E-06
Clinton,877,California,Modoc,-120.629,41.4565,5166,0.16976384,1.51E-05
Trump,2696,California,Modoc,-120.629,41.4565,5166,0.52187379,4.63E-05
All_Others,392,California,Mono,-118.953,37.9219,6471,0.060577963,6.73E-06
Clinton,2773,California,Mono,-118.953,37.9219,6471,0.428527276,4.76E-05
Trump,2111,California,Mono,-118.953,37.9219,6471,0.326224695,3.62E-05
All_Others,9425,California,Monterey,-121.895,36.6002,185786,0.05073041,0.000161843
Clinton,89088,California,Monterey,-121.895,36.6002,185786,0.479519447,0.001529793
Trump,34895,California,Monterey,-121.895,36.6002,185786,0.187823625,0.000599207
All_Others,4762,California,Napa,-122.287,38.2975,76833,0.061978577,8.18E-05
Clinton,39199,California,Napa,-122.287,38.2975,76833,0.510184426,0.000673114
Trump,17411,California,Napa,-122.287,38.2975,76833,0.226608358,0.000298977
All_Others,5517,California,Nevada,-121.171,39.1347,68829,0.080155167,9.47E-05
Clinton,26053,California,Nevada,-121.171,39.1347,68829,0.378517776,0.000447375
Trump,23365,California,Nevada,-121.171,39.1347,68829,0.33946447,0.000401217
All_Others,80412,California,Orange,-117.853,33.7879,1535691,0.052362096,0.001380812
Clinton,609961,California,Orange,-117.853,33.7879,1535691,0.397189929,0.010474074
Trump,507148,California,Orange,-117.853,33.7879,1535691,0.330240914,0.008708599
All_Others,14192,California,Placer,-120.804,39.0916,226249,0.062727349,0.000243701
Clinton,73509,California,Placer,-120.804,39.0916,226249,0.324903093,0.001262275
Trump,95138,California,Placer,-120.804,39.0916,226249,0.420501306,0.001633682
All_Others,797,California,Plumas,-120.804,39.9927,11985,0.066499791,1.37E-05
Clinton,3459,California,Plumas,-120.804,39.9927,11985,0.288610763,5.94E-05
Trump,5420,California,Plumas,-120.804,39.9927,11985,0.452231957,9.31E-05
All_Others,44453,California,Riverside,-117.375,33.9806,1019130,0.043618577,0.000763334
Clinton,373695,California,Riverside,-117.375,33.9806,1019130,0.366680404,0.006416983
Trump,333243,California,Riverside,-117.375,33.9806,1019130,0.326987725,0.005722353
All_Others,43518,California,Sacramento,-121.494,38.5816,772865,0.056307376,0.000747279
Clinton,326023,California,Sacramento,-121.494,38.5816,772865,0.421836931,0.005598373
Trump,189789,California,Sacramento,-121.494,38.5816,772865,0.245565526,0.003259002
All_Others,1562,California,San Benito,-120.988,36.5761,28224,0.055342971,2.68E-05
Clinton,12521,California,San Benito,-120.988,36.5761,28224,0.443629535,0.000215007
Trump,7841,California,San Benito,-120.988,36.5761,28224,0.277813209,0.000134643
All_Others,41910,California,San Bernardino,-117.29,34.1083,888019,0.047194936,0.000719666
Clinton,340833,California,San Bernardino,-117.29,34.1083,888019,0.383812734,0.005852686
Trump,271240,California,San Bernardino,-117.29,34.1083,888019,0.305443915,0.004657655
All_Others,93158,California,San Diego,-117.161,32.7157,1652570,0.056371591,0.001599682
Clinton,735476,California,San Diego,-117.161,32.7157,1652570,0.445049831,0.012629382
Trump,477766,California,San Diego,-117.161,32.7157,1652570,0.289104849,0.00820406
All_Others,23020,California,San Francisco,-122.419,37.7749,512723,0.044897537,0.000395293
Clinton,345084,California,San Francisco,-122.419,37.7749,512723,0.673041779,0.005925683
Trump,37688,California,San Francisco,-122.419,37.7749,512723,0.073505577,0.000647167
All_Others,14106,California,San Joaquin,-120.189,36.6066,334253,0.042201566,0.000242224
Clinton,121124,California,San Joaquin,-120.189,36.6066,334253,0.362372215,0.002079906
Trump,88936,California,San Joaquin,-120.189,36.6066,334253,0.266073902,0.001527183
All_Others,11738,California,San Luis Obispo,-120.66,35.2828,168257,0.069762328,0.000201562
Clinton,67107,California,San Luis Obispo,-120.66,35.2828,168257,0.398836304,0.001152342
Trump,56164,California,San Luis Obispo,-120.66,35.2828,168257,0.333798891,0.000964432
