candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,17037,Colorado,Adams,-104.193,39.8398,273117,0.062379859,0.001479175
Clinton,96558,Colorado,Adams,-104.193,39.8398,273117,0.35354079,0.008383292
Trump,80082,Colorado,Adams,-104.193,39.8398,273117,0.293214996,0.006952825
All_Others,704,Colorado,Alamosa,-105.87,37.4694,10039,0.070126507,6.11E-05
Clinton,3189,Colorado,Alamosa,-105.87,37.4694,10039,0.317661122,0.000276873
Trump,3046,Colorado,Alamosa,-105.87,37.4694,10039,0.303416675,0.000264458
All_Others,26110,Colorado,Arapahoe,-104.333,39.6203,421178,0.061992792,0.002266905
Clinton,159885,Colorado,Arapahoe,-104.333,39.6203,421178,0.379613845,0.013881426
Trump,117053,Colorado,Arapahoe,-104.333,39.6203,421178,0.277918125,0.010162695
All_Others,575,Colorado,Archuleta,-107.007,37.1604,10600,0.054245283,4.99E-05
Clinton,2500,Colorado,Archuleta,-107.007,37.1604,10600,0.235849057,0.000217053
Trump,4264,Colorado,Archuleta,-107.007,37.1604,10600,0.402264151,0.000370206
All_Others,117,Colorado,Baca,-102.53,37.3947,2825,0.041415929,1.02E-05
Clinton,283,Colorado,Baca,-102.53,37.3947,2825,0.100176991,2.46E-05
Trump,1753,Colorado,Baca,-102.53,37.3947,2825,0.620530973,0.000152198
All_Others,149,Colorado,Bent,-103.082,38.0036,2938,0.050714772,1.29E-05
Clinton,590,Colorado,Bent,-103.082,38.0036,2938,0.200816882,5.12E-05
Trump,1188,Colorado,Bent,-103.082,38.0036,2938,0.404356705,0.000103144
All_Others,14415,Colorado,Boulder,-105.271,40.015,263523,0.054701108,0.001251529
Clinton,132334,Colorado,Boulder,-105.271,40.015,263523,0.502172486,0.011489412
Trump,41396,Colorado,Boulder,-105.271,40.015,263523,0.157086858,0.003594055
All_Others,3592,Colorado,Broomfield,-105.087,39.9205,49422,0.072680183,0.000311862
Clinton,19731,Colorado,Broomfield,-105.087,39.9205,49422,0.399235158,0.001713071
Trump,14367,Colorado,Broomfield,-105.087,39.9205,49422,0.290700498,0.001247362
All_Others,971,Colorado,Chaffee,-106.252,38.7537,14714,0.065991573,8.43E-05
Clinton,4888,Colorado,Chaffee,-106.252,38.7537,14714,0.332200625,0.000424383
Trump,5391,Colorado,Chaffee,-106.252,38.7537,14714,0.366385755,0.000468054
All_Others,45,Colorado,Cheyenne,-102.622,38.8003,1417,0.031757234,3.91E-06
Clinton,132,Colorado,Cheyenne,-102.622,38.8003,1417,0.093154552,1.15E-05
Trump,925,Colorado,Cheyenne,-102.622,38.8003,1417,0.652787579,8.03E-05
All_Others,562,Colorado,Clear Creek,-105.043,39.7969,7987,0.070364342,4.88E-05
Clinton,2729,Colorado,Clear Creek,-105.043,39.7969,7987,0.34168023,0.000236935
Trump,2575,Colorado,Clear Creek,-105.043,39.7969,7987,0.322398898,0.000223565
All_Others,337,Colorado,Conejos,-106.02,37.0883,5763,0.058476488,2.93E-05
Clinton,1771,Colorado,Conejos,-106.02,37.0883,5763,0.307305223,0.000153761
Trump,1914,Colorado,Conejos,-106.02,37.0883,5763,0.332118688,0.000166176
All_Others,135,Colorado,Costilla,-105.501,37.205,2923,0.046185426,1.17E-05
Clinton,1125,Colorado,Costilla,-105.501,37.205,2923,0.384878549,9.77E-05
Trump,588,Colorado,Costilla,-105.501,37.205,2923,0.201163189,5.11E-05
All_Others,109,Colorado,Crowley,-103.856,38.1931,2096,0.052003817,9.46E-06
Clinton,339,Colorado,Crowley,-103.856,38.1931,2096,0.161736641,2.94E-05
Trump,1079,Colorado,Crowley,-103.856,38.1931,2096,0.514790076,9.37E-05
All_Others,208,Colorado,Custer,-105.313,38.0616,3866,0.05380238,1.81E-05
Clinton,797,Colorado,Custer,-105.313,38.0616,3866,0.206156234,6.92E-05
Trump,2061,Colorado,Custer,-105.313,38.0616,3866,0.533109157,0.000178939
All_Others,1048,Colorado,Delta,-108.069,38.7422,22194,0.047219969,9.10E-05
Clinton,4087,Colorado,Delta,-108.069,38.7422,22194,0.184148869,0.000354839
Trump,11655,Colorado,Delta,-108.069,38.7422,22194,0.52514193,0.001011902
All_Others,24611,Colorado,Denver,-104.99,39.7392,474975,0.051815359,0.002136759
Clinton,244551,Colorado,Denver,-104.99,39.7392,474975,0.514871309,0.021232239
Trump,62690,Colorado,Denver,-104.99,39.7392,474975,0.131985894,0.005442828
All_Others,69,Colorado,Dolores,-108.505,37.4739,1703,0.040516735,5.99E-06
Clinton,242,Colorado,Dolores,-108.505,37.4739,1703,0.142102173,2.10E-05
Trump,944,Colorado,Dolores,-108.505,37.4739,1703,0.554315913,8.20E-05
All_Others,16270,Colorado,Douglas,-104.939,39.2587,238123,0.068326033,0.001412583
Clinton,68657,Colorado,Douglas,-104.939,39.2587,238123,0.288325781,0.005960891
Trump,102573,Colorado,Douglas,-104.939,39.2587,238123,0.430756374,0.008905523
All_Others,2134,Colorado,Eagle,-106.829,39.6553,34928,0.061097114,0.000185277
Clinton,14099,Colorado,Eagle,-106.829,39.6553,34928,0.403658956,0.001224094
Trump,8990,Colorado,Eagle,-106.829,39.6553,34928,0.257386624,0.000780524
All_Others,31730,Colorado,El Paso,-104.472,38.9108,19833,1.599858821,0.00275484
Clinton,108010,Colorado,El Paso,-104.472,38.9108,19833,5.445973882,0.00937757
Trump,179228,Colorado,El Paso,-104.472,38.9108,19833,9.036857762,0.015560811
All_Others,1141,Colorado,Elbert,-104.537,39.2195,457329,0.002494922,9.91E-05
Clinton,3134,Colorado,Elbert,-104.537,39.2195,457329,0.006852835,0.000272098
Trump,11705,Colorado,Elbert,-104.537,39.2195,457329,0.025594266,0.001016243
All_Others,1554,Colorado,Fremont,-105.501,38.5307,30590,0.050800915,0.00013492
Clinton,5297,Colorado,Fremont,-105.501,38.5307,30590,0.173161164,0.000459893
Trump,15122,Colorado,Fremont,-105.501,38.5307,30590,0.494344557,0.001312912
All_Others,2067,Colorado,Garfield,-107.764,39.6585,35017,0.059028472,0.00017946
Clinton,11271,Colorado,Garfield,-107.764,39.6585,35017,0.321872233,0.000978563
Trump,13132,Colorado,Garfield,-107.764,39.6585,35017,0.375017848,0.001140138
All_Others,376,Colorado,Gilpin,-105.454,39.877,4981,0.07548685,3.26E-05
Clinton,1634,Colorado,Gilpin,-105.454,39.877,4981,0.328046577,0.000141866
Trump,1566,Colorado,Gilpin,-105.454,39.877,4981,0.3143947,0.000135962
All_Others,736,Colorado,Grand,-106.068,39.4824,11730,0.062745098,6.39E-05
Clinton,3358,Colorado,Grand,-106.068,39.4824,11730,0.28627451,0.000291546
Trump,4494,Colorado,Grand,-106.068,39.4824,11730,0.383120205,0.000390175
All_Others,995,Colorado,Gunnison,-106.925,38.5458,13263,0.075020734,8.64E-05
Clinton,5128,Colorado,Gunnison,-106.925,38.5458,13263,0.386639523,0.00044522
Trump,3289,Colorado,Gunnison,-106.925,38.5458,13263,0.247983111,0.000285555
All_Others,53,Colorado,Hinsdale,-107.385,37.9316,744,0.071236559,4.60E-06
Clinton,197,Colorado,Hinsdale,-107.385,37.9316,744,0.264784946,1.71E-05
Trump,339,Colorado,Hinsdale,-107.385,37.9316,744,0.455645161,2.94E-05
All_Others,267,Colorado,Huerfano,-104.939,37.6126,5105,0.052301665,2.32E-05
Clinton,1633,Colorado,Huerfano,-104.939,37.6126,5105,0.319882468,0.000141779
Trump,1883,Colorado,Huerfano,-104.939,37.6126,5105,0.368854065,0.000163485
All_Others,61,Colorado,Jackson,-106.252,40.6819,1209,0.050454921,5.30E-06
Clinton,171,Colorado,Jackson,-106.252,40.6819,1209,0.141439206,1.48E-05
Trump,629,Colorado,Jackson,-106.252,40.6819,1209,0.520264682,5.46E-05
All_Others,29930,Colorado,Jefferson,-105.801,39.3773,429933,0.069615498,0.002598562
Clinton,160776,Colorado,Jefferson,-105.801,39.3773,429933,0.373955942,0.013958784
Trump,138177,Colorado,Jefferson,-105.801,39.3773,429933,0.321391938,0.011996709
All_Others,36,Colorado,Kiowa,-104.464,39.3472,1029,0.034985423,3.13E-06
Clinton,91,Colorado,Kiowa,-104.464,39.3472,1029,0.088435374,7.90E-06
Trump,728,Colorado,Kiowa,-104.464,39.3472,1029,0.707482993,6.32E-05
All_Others,199,Colorado,Kit Carson,-102.789,38.7611,4955,0.040161453,1.73E-05
Clinton,536,Colorado,Kit Carson,-102.789,38.7611,4955,0.108173562,4.65E-05
Trump,2967,Colorado,Kit Carson,-102.789,38.7611,4955,0.598789102,0.000257599
All_Others,3038,Colorado,La Plata,-107.764,37.2126,5606,0.541919372,0.000263763
Clinton,15525,Colorado,La Plata,-107.764,37.2126,5606,2.769354263,0.001347901
Trump,12587,Colorado,La Plata,-107.764,37.2126,5606,2.245272922,0.00109282
All_Others,313,Colorado,Lake,-107.315,38.03,44511,0.00703197,2.72E-05
Clinton,1616,Colorado,Lake,-107.315,38.03,44511,0.036305632,0.000140303
Trump,1270,Colorado,Lake,-107.315,38.03,44511,0.028532273,0.000110263
All_Others,19438,Colorado,Larimer,-105.594,40.6956,255689,0.076022042,0.001687633
Clinton,93113,Colorado,Larimer,-105.594,40.6956,255689,0.36416506,0.008084193
Trump,83430,Colorado,Larimer,-105.594,40.6956,255689,0.326294835,0.007243502
All_Others,433,Colorado,Las Animas,-103.223,38.0667,10420,0.041554702,3.76E-05
Clinton,2650,Colorado,Las Animas,-103.223,38.0667,10420,0.254318618,0.000230076
Trump,3710,Colorado,Las Animas,-103.223,38.0667,10420,0.356046065,0.000322107
All_Others,135,Colorado,Lincoln,-103.359,39.0458,3185,0.042386185,1.17E-05
Clinton,409,Colorado,Lincoln,-103.359,39.0458,3185,0.128414443,3.55E-05
Trump,1892,Colorado,Lincoln,-103.359,39.0458,3185,0.594034537,0.000164266
All_Others,589,Colorado,Logan,-102.99,40.7056,13245,0.044469611,5.11E-05
Clinton,1851,Colorado,Logan,-102.99,40.7056,13245,0.139750849,0.000160706
Trump,7282,Colorado,Logan,-102.99,40.7056,13245,0.549792374,0.000632233
All_Others,6146,Colorado,Mesa,-108.139,39.1662,116248,0.052869727,0.000533604
Clinton,21729,Colorado,Mesa,-108.139,39.1662,116248,0.186919345,0.00188654
Trump,49779,Colorado,Mesa,-108.139,39.1662,116248,0.428213819,0.004321878
All_Others,71,Colorado,Mineral,-107.007,37.6584,838,0.084725537,6.16E-06
Clinton,237,Colorado,Mineral,-107.007,37.6584,838,0.282816229,2.06E-05
Trump,344,Colorado,Mineral,-107.007,37.6584,838,0.410501193,2.99E-05
All_Others,346,Colorado,Moffat,-105.91,37.9989,10040,0.034462151,3.00E-05
Clinton,874,Colorado,Moffat,-105.91,37.9989,10040,0.087051793,7.59E-05
Trump,5305,Colorado,Moffat,-105.91,37.9989,10040,0.528386454,0.000460587
All_Others,1032,Colorado,Montezuma,-105.867,39.5811,20042,0.051491867,8.96E-05
Clinton,3973,Colorado,Montezuma,-105.867,39.5811,20042,0.198233709,0.000344941
Trump,7853,Colorado,Montezuma,-105.867,39.5811,20042,0.391827163,0.000681808
All_Others,1338,Colorado,Montrose,-107.876,38.4783,27529,0.048603291,0.000116167
Clinton,5466,Colorado,Montrose,-107.876,38.4783,27529,0.198554252,0.000474565
Trump,14382,Colorado,Montrose,-107.876,38.4783,27529,0.522430891,0.001248664
All_Others,664,Colorado,Morgan,-103.729,40.2989,16066,0.041329516,5.76E-05
Clinton,3151,Colorado,Morgan,-103.729,40.2989,16066,0.19612847,0.000273574
Trump,8145,Colorado,Morgan,-103.729,40.2989,16066,0.506971244,0.00070716
All_Others,581,Colorado,Otero,-103.636,37.9398,11975,0.048517745,5.04E-05
Clinton,2943,Colorado,Otero,-103.636,37.9398,11975,0.245762004,0.000255515
Trump,4928,Colorado,Otero,-103.636,37.9398,11975,0.411524008,0.000427855
All_Others,262,Colorado,Ouray,-107.671,38.0228,4459,0.058757569,2.27E-05
Clinton,1697,Colorado,Ouray,-107.671,38.0228,4459,0.380578605,0.000147336
Trump,1351,Colorado,Ouray,-107.671,38.0228,4459,0.302982732,0.000117296
All_Others,861,Colorado,Park,-105.594,39.0898,14339,0.060046028,7.48E-05
Clinton,3421,Colorado,Park,-105.594,39.0898,14339,0.238580096,0.000297016
Trump,6135,Colorado,Park,-105.594,39.0898,14339,0.427854104,0.000532649
All_Others,105,Colorado,Phillips,-102.346,40.5371,3268,0.032129743,9.12E-06
Clinton,436,Colorado,Phillips,-102.346,40.5371,3268,0.133414933,3.79E-05
Trump,1791,Colorado,Phillips,-102.346,40.5371,3268,0.548041616,0.000155497
All_Others,640,Colorado,Pitkin,-106.517,38.6092,15281,0.041882076,5.56E-05
Clinton,7333,Colorado,Pitkin,-106.517,38.6092,15281,0.479876971,0.000636661
Trump,2550,Colorado,Pitkin,-106.517,38.6092,15281,0.166873896,0.000221394
All_Others,299,Colorado,Prowers,-102.255,37.8434,7246,0.041264146,2.60E-05
Clinton,1186,Colorado,Prowers,-102.255,37.8434,7246,0.163676511,0.00010297
Trump,3531,Colorado,Prowers,-102.255,37.8434,7246,0.48730334,0.000306566
All_Others,6506,Colorado,Pueblo,-104.609,38.2544,114846,0.056649774,0.000564859
Clinton,35875,Colorado,Pueblo,-104.609,38.2544,114846,0.312374832,0.003114715
Trump,36265,Colorado,Pueblo,-104.609,38.2544,114846,0.315770684,0.003148575
All_Others,223,Colorado,Rio Blanco,-108.238,39.9814,4650,0.047956989,1.94E-05
Clinton,436,Colorado,Rio Blanco,-108.238,39.9814,4650,0.093763441,3.79E-05
Trump,2791,Colorado,Rio Blanco,-108.238,39.9814,4650,0.600215054,0.000242318
All_Others,448,Colorado,Rio Grande,-106.441,37.575,8099,0.055315471,3.89E-05
Clinton,2001,Colorado,Rio Grande,-106.441,37.575,8099,0.247067539,0.000173729
Trump,3085,Colorado,Rio Grande,-106.441,37.575,8099,0.380911224,0.000267844
All_Others,1156,Colorado,Routt,-107.101,40.4772,19988,0.057834701,0.000100365
Clinton,7600,Colorado,Routt,-107.101,40.4772,19988,0.380228137,0.000659842
Trump,5230,Colorado,Routt,-107.101,40.4772,19988,0.261656994,0.000454075
All_Others,271,Colorado,Saguache,-106.142,38.0875,4476,0.06054513,2.35E-05
Clinton,1417,Colorado,Saguache,-106.142,38.0875,4476,0.316577301,0.000123026
Trump,1147,Colorado,Saguache,-106.142,38.0875,4476,0.256255585,9.96E-05
All_Others,26,Colorado,San Juan,-107.716,37.7574,734,0.035422343,2.26E-06
Clinton,265,Colorado,San Juan,-107.716,37.7574,734,0.361035422,2.30E-05
Trump,215,Colorado,San Juan,-107.716,37.7574,734,0.292915531,1.87E-05
All_Others,321,Colorado,San Miguel,-108.143,37.9781,6329,0.050718913,2.79E-05
Clinton,2975,Colorado,San Miguel,-108.143,37.9781,6329,0.470058461,0.000258293
Trump,1033,Colorado,San Miguel,-108.143,37.9781,6329,0.163216938,8.97E-05
All_Others,82,Colorado,Sedgwick,-102.525,40.9364,1804,0.045454545,7.12E-06
Clinton,267,Colorado,Sedgwick,-102.525,40.9364,1804,0.148004435,2.32E-05
Trump,1015,Colorado,Sedgwick,-102.525,40.9364,1804,0.562638581,8.81E-05
All_Others,1517,Colorado,Summit,-106.064,39.5912,26835,0.05653065,0.000131708
Clinton,9557,Colorado,Summit,-106.064,39.5912,26835,0.35613937,0.000829751
Trump,5100,Colorado,Summit,-106.064,39.5912,26835,0.190050307,0.000442789
All_Others,1096,Colorado,Teller,-105.173,38.8612,19613,0.055881303,9.52E-05
Clinton,3603,Colorado,Teller,-105.173,38.8612,19613,0.183704686,0.000312817
Trump,9745,Colorado,Teller,-105.173,38.8612,19613,0.496864325,0.000846074
All_Others,138,Colorado,Washington,-102.99,40.0637,3360,0.041071429,1.20E-05
Clinton,296,Colorado,Washington,-102.99,40.0637,3360,0.088095238,2.57E-05
Trump,2299,Colorado,Washington,-102.99,40.0637,3360,0.68422619,0.000199602
All_Others,12260,Colorado,Weld,-104.716,40.3921,182318,0.067245143,0.001064429
Clinton,46519,Colorado,Weld,-104.716,40.3921,182318,0.255153084,0.004038841
Trump,76651,Colorado,Weld,-104.716,40.3921,182318,0.420424752,0.006654941
All_Others,215,Colorado,Yuma,-102.725,40.1222,6215,0.034593725,1.87E-05
Clinton,726,Colorado,Yuma,-102.725,40.1222,6215,0.116814159,6.30E-05
Trump,3850,Colorado,Yuma,-102.725,40.1222,6215,0.619469027,0.000334262
