candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,121,Connecticut,Andover,-72.3704,41.7373,2214,0.054652213,1.89E-05
Clinton,896,Connecticut,Andover,-72.3704,41.7373,2214,0.40469738,0.000139806
Trump,891,Connecticut,Andover,-72.3704,41.7373,2214,0.402439024,0.000139026
All_Others,325,Connecticut,Ansonia,-73.079,41.3462,9263,0.035085825,5.07E-05
Clinton,3532,Connecticut,Ansonia,-73.079,41.3462,9263,0.381301954,0.000551111
Trump,3621,Connecticut,Ansonia,-73.079,41.3462,9263,0.390910072,0.000564998
All_Others,178,Connecticut,Ashford,-72.1216,41.8731,2919,0.060979788,2.78E-05
Clinton,1112,Connecticut,Ashford,-72.1216,41.8731,2919,0.380952381,0.00017351
Trump,1042,Connecticut,Ashford,-72.1216,41.8731,2919,0.356971566,0.000162587
All_Others,537,Connecticut,Avon,-72.8305,41.8096,12968,0.041409624,8.38E-05
Clinton,5675,Connecticut,Avon,-72.8305,41.8096,12968,0.437615669,0.000885492
Trump,4390,Connecticut,Avon,-72.8305,41.8096,12968,0.338525601,0.000684988
All_Others,138,Connecticut,Barkhamsted,-72.914,41.9293,2805,0.049197861,2.15E-05
Clinton,905,Connecticut,Barkhamsted,-72.914,41.9293,2805,0.322638146,0.000141211
Trump,1157,Connecticut,Barkhamsted,-72.914,41.9293,2805,0.412477718,0.000180531
All_Others,184,Connecticut,Beacon Falls,-73.0618,41.4426,4313,0.04266172,2.87E-05
Clinton,1146,Connecticut,Beacon Falls,-73.0618,41.4426,4313,0.265708324,0.000178815
Trump,2002,Connecticut,Beacon Falls,-73.0618,41.4426,4313,0.464178066,0.00031238
All_Others,478,Connecticut,Berlin,-72.7457,41.6215,14111,0.033874282,7.46E-05
Clinton,4913,Connecticut,Berlin,-72.7457,41.6215,14111,0.348168096,0.000766594
Trump,6210,Connecticut,Berlin,-72.7457,41.6215,14111,0.440082205,0.00096897
All_Others,154,Connecticut,Bethany,-72.997,41.4218,4223,0.036466967,2.40E-05
Clinton,1580,Connecticut,Bethany,-72.997,41.4218,4223,0.374141605,0.000246533
Trump,1646,Connecticut,Bethany,-72.997,41.4218,4223,0.389770305,0.000256832
All_Others,494,Connecticut,Bethel,-73.414,41.3712,12451,0.039675528,7.71E-05
Clinton,4777,Connecticut,Bethel,-73.414,41.3712,12451,0.383663963,0.000745373
Trump,4575,Connecticut,Bethel,-73.414,41.3712,12451,0.367440366,0.000713854
All_Others,111,Connecticut,Bethlehem,-73.2058,41.6404,2764,0.04015919,1.73E-05
Clinton,801,Connecticut,Bethlehem,-73.2058,41.6404,2764,0.289797395,0.000124983
Trump,1405,Connecticut,Bethlehem,-73.2058,41.6404,2764,0.508321274,0.000219227
All_Others,319,Connecticut,Bloomfield,-72.7301,41.8265,13960,0.022851003,4.98E-05
Clinton,9637,Connecticut,Bloomfield,-72.7301,41.8265,13960,0.690329513,0.001503697
Trump,1683,Connecticut,Bloomfield,-72.7301,41.8265,13960,0.120558739,0.000262605
All_Others,181,Connecticut,Bolton,-72.4334,41.769,3481,0.051996553,2.82E-05
Clinton,1385,Connecticut,Bolton,-72.4334,41.769,3481,0.397874174,0.000216107
Trump,1436,Connecticut,Bolton,-72.4334,41.769,3481,0.412525136,0.000224064
All_Others,90,Connecticut,Bozrah,-72.1636,41.5604,1782,0.050505051,1.40E-05
Clinton,536,Connecticut,Bozrah,-72.1636,41.5604,1782,0.300785634,8.36E-05
Trump,764,Connecticut,Bozrah,-72.1636,41.5604,1782,0.428731762,0.00011921
All_Others,567,Connecticut,Branford,-72.8141,41.2799,19970,0.028392589,8.85E-05
Clinton,8453,Connecticut,Branford,-72.8141,41.2799,19970,0.423284927,0.001318953
Trump,6585,Connecticut,Branford,-72.8141,41.2799,19970,0.329744617,0.001027482
All_Others,929,Connecticut,Bridgeport,-73.1894,41.1792,69212,0.013422528,0.000144955
Clinton,32035,Connecticut,Bridgeport,-73.1894,41.1792,69212,0.462853262,0.004998541
Trump,6596,Connecticut,Bridgeport,-73.1894,41.1792,69212,0.095301393,0.001029199
All_Others,52,Connecticut,Bridgewater,-73.3662,41.5351,1347,0.038604306,8.11E-06
Clinton,518,Connecticut,Bridgewater,-73.3662,41.5351,1347,0.384558278,8.08E-05
Trump,571,Connecticut,Bridgewater,-73.3662,41.5351,1347,0.423904974,8.91E-05
All_Others,1204,Connecticut,Bristol,-72.9493,41.6718,3464,0.347575058,0.000187865
Clinton,12499,Connecticut,Bristol,-72.9493,41.6718,3464,3.608256351,0.001950266
Trump,12752,Connecticut,Bristol,-72.9493,41.6718,3464,3.681293303,0.001989742
All_Others,391,Connecticut,Brookfield,-73.4096,41.4826,11623,0.033640196,6.10E-05
Clinton,4216,Connecticut,Brookfield,-73.4096,41.4826,11623,0.362729072,0.000657838
Trump,4973,Connecticut,Brookfield,-73.4096,41.4826,11623,0.427858556,0.000775956
All_Others,206,Connecticut,Brooklyn,-71.9497,41.7881,5305,0.038831291,3.21E-05
Clinton,1462,Connecticut,Brooklyn,-71.9497,41.7881,5305,0.275589067,0.000228121
Trump,2052,Connecticut,Brooklyn,-71.9497,41.7881,5305,0.386804901,0.000320181
All_Others,260,Connecticut,Burlington,-72.9648,41.7691,6412,0.040548971,4.06E-05
Clinton,2352,Connecticut,Burlington,-72.9648,41.7691,6412,0.366812227,0.000366991
Trump,2773,Connecticut,Burlington,-72.9648,41.7691,6412,0.432470368,0.000432682
All_Others,32,Connecticut,Canaan,-73.3001,41.9641,761,0.042049934,4.99E-06
Clinton,357,Connecticut,Canaan,-73.3001,41.9641,761,0.46911958,5.57E-05
