candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,5917,Floridia,Alachua,-82.4944,29.7938,"191,545",0.030890913,0.000432956
Clinton,75820,Floridia,Alachua,-82.4944,29.7938,"191,545",0.395833877,0.005547863
Trump,46834,Floridia,Alachua,-82.4944,29.7938,"191,545",0.244506513,0.003426914
All_Others,228,Floridia,Baker,-86.6813,30.7971,"16,300",0.01398773,1.67E-05
Clinton,2112,Floridia,Baker,-86.6813,30.7971,"16,300",0.129570552,0.000154538
Trump,10294,Floridia,Baker,-86.6813,30.7971,"16,300",0.631533742,0.000753227
All_Others,3462,Floridia,Bay,-85.6846,30.1805,"127,180",0.027221261,0.00025332
Clinton,21797,Floridia,Bay,-85.6846,30.1805,"127,180",0.171387011,0.001594919
Trump,62194,Floridia,Bay,-85.6846,30.1805,"127,180",0.489023431,0.004550828
All_Others,261,Floridia,Bradford,-82.1714,29.9724,"16,498",0.015820099,1.91E-05
Clinton,2924,Floridia,Bradford,-82.1714,29.9724,"16,498",0.177233604,0.000213953
Trump,8913,Floridia,Bradford,-82.1714,29.9724,"16,498",0.540247303,0.000652178
All_Others,13225,Floridia,Brevard,-80.7214,28.2639,"434,039",0.030469612,0.000967693
Clinton,119679,Floridia,Brevard,-80.7214,28.2639,"434,039",0.275733287,0.008757092
Trump,181848,Floridia,Brevard,-80.7214,28.2639,"434,039",0.418966959,0.013306091
All_Others,17680,Floridia,Broward,-80.3659,26.1901,"1,247,465",0.014172742,0.001293672
Clinton,553320,Floridia,Broward,-80.3659,26.1901,"1,247,465",0.443555531,0.040487255
Trump,260951,Floridia,Broward,-80.3659,26.1901,"1,247,465",0.209185027,0.019094176
All_Others,185,Floridia,Calhoun,-85.1894,30.3475,"8,795",0.021034679,1.35E-05
Clinton,1241,Floridia,Calhoun,-85.1894,30.3475,"8,795",0.141102899,9.08E-05
Trump,4655,Floridia,Calhoun,-85.1894,30.3475,"8,795",0.529277999,0.000340613
All_Others,2711,Floridia,Charlotte,-81.9098,26.8946,"135,215",0.020049551,0.000198368
Clinton,33445,Floridia,Charlotte,-81.9098,26.8946,"135,215",0.247346818,0.002447221
Trump,60218,Floridia,Charlotte,-81.9098,26.8946,"135,215",0.445349998,0.004406241
All_Others,2455,Floridia,Citrus,-82.5186,28.8849,"110,722",0.022172649,0.000179636
Clinton,22789,Floridia,Citrus,-82.5186,28.8849,"110,722",0.205821788,0.001667505
Trump,54456,Floridia,Citrus,-82.5186,28.8849,"110,722",0.491826376,0.003984627
All_Others,3698,Floridia,Clay,-82.5358,27.3742,"154,879",0.023876704,0.000270588
Clinton,27822,Floridia,Clay,-82.5358,27.3742,"154,879",0.179637007,0.002035777
Trump,74963,Floridia,Clay,-82.5358,27.3742,"154,879",0.484010098,0.005485155
All_Others,4281,Floridia,Collier,-81.4279,26.07,"218,763",0.019569123,0.000313247
Clinton,61085,Floridia,Collier,-81.4279,26.07,"218,763",0.27922912,0.004469681
Trump,105423,Floridia,Collier,-81.4279,26.07,"218,763",0.481905075,0.007713959
All_Others,738,Floridia,Columbia,-82.6051,30.1813,"39,786",0.018549238,5.40E-05
Clinton,7601,Floridia,Columbia,-82.6051,30.1813,"39,786",0.191047102,0.000556177
Trump,20368,Floridia,Columbia,-82.6051,30.1813,"39,786",0.511938873,0.001490357
All_Others,259,Floridia,Desoto,-81.7787,27.2142,"16,796",0.015420338,1.90E-05
Clinton,3781,Floridia,Desoto,-81.7787,27.2142,"16,796",0.225113122,0.000276661
Trump,6778,Floridia,Desoto,-81.7787,27.2142,"16,796",0.403548464,0.000495956
All_Others,110,Floridia,Dixie,-83.1649,29.5207,"10,322",0.010656849,8.05E-06
Clinton,1270,Floridia,Dixie,-83.1649,29.5207,"10,322",0.123038171,9.29E-05
Trump,5822,Floridia,Dixie,-83.1649,29.5207,"10,322",0.564037977,0.000426004
All_Others,15319,Floridia,Duval,-81.6035,30.3501,"624,161",0.024543347,0.001120914
Clinton,205704,Floridia,Duval,-81.6035,30.3501,"624,161",0.329568813,0.01505167
Trump,211672,Floridia,Duval,-81.6035,30.3501,"624,161",0.339130449,0.015488358
All_Others,6200,Floridia,Escambia,-87.3414,30.6389,"224,270",0.027645249,0.000453663
Clinton,57461,Floridia,Escambia,-87.3414,30.6389,"224,270",0.256213493,0.004204508
Trump,88808,Floridia,Escambia,-87.3414,30.6389,"224,270",0.39598698,0.006498215
All_Others,1627,Floridia,Flagler,-81.2519,29.4086,"84,468",0.019261732,0.00011905
Clinton,22026,Floridia,Flagler,-81.2519,29.4086,"84,468",0.260761472,0.001611675
Trump,33850,Floridia,Flagler,-81.2519,29.4086,"84,468",0.400743477,0.002476855
All_Others,146,Floridia,Franklin,-84.8568,29.7818,"7,766",0.018799897,1.07E-05
Clinton,1744,Floridia,Franklin,-84.8568,29.7818,"7,766",0.224568633,0.000127611
Trump,4125,Floridia,Franklin,-84.8568,29.7818,"7,766",0.531161473,0.000301832
All_Others,365,Floridia,Gadsden,-84.6479,30.5563,"30,352",0.012025567,2.67E-05
Clinton,15020,Floridia,Gadsden,-84.6479,30.5563,"30,352",0.494860306,0.001099036
Trump,6728,Floridia,Gadsden,-84.6479,30.5563,"30,352",0.221665788,0.000492298
All_Others,222,Floridia,Gilchrist,-82.821,29.6871,"11,906",0.018646061,1.62E-05
Clinton,1458,Floridia,Gilchrist,-82.821,29.6871,"11,906",0.122459264,0.000106684
Trump,6740,Floridia,Gilchrist,-82.821,29.6871,"11,906",0.566101125,0.000493176
All_Others,86,Floridia,Glades,-81.0755,26.9844,"6,842",0.012569424,6.29E-06
Clinton,1271,Floridia,Glades,-81.0755,26.9844,"6,842",0.185764396,9.30E-05
Trump,2996,Floridia,Glades,-81.0755,26.9844,"6,842",0.43788366,0.000219222
All_Others,244,Floridia,Gulf,-85.355,29.8002,"10,718",0.022765441,1.79E-05
Clinton,1720,Floridia,Gulf,-85.355,29.8002,"10,718",0.160477701,0.000125855
Trump,5329,Floridia,Gulf,-85.355,29.8002,"10,718",0.49720097,0.000389931
All_Others,113,Floridia,Hamilton,-82.9502,30.4756,"8,315",0.013589898,8.27E-06
Clinton,1904,Floridia,Hamilton,-82.9502,30.4756,"8,315",0.228983764,0.000139319
Trump,3443,Floridia,Hamilton,-82.9502,30.4756,"8,315",0.414070956,0.000251929
All_Others,192,Floridia,Hardee,-81.8224,27.4502,"12,281",0.015633906,1.40E-05
Clinton,2149,Floridia,Hardee,-81.8224,27.4502,"12,281",0.17498575,0.000157246
Trump,5242,Floridia,Hardee,-81.8224,27.4502,"12,281",0.426838205,0.000383565
All_Others,305,Floridia,Hendry,-81.0755,26.6105,"18,345",0.016625784,2.23E-05
Clinton,4615,Floridia,Hendry,-81.0755,26.6105,"18,345",0.251567185,0.000337686
Trump,6195,Floridia,Hendry,-81.0755,26.6105,"18,345",0.337694195,0.000453297
All_Others,3031,Floridia,Hernando,-82.3745,28.9,"136,004",0.022286109,0.000221783
Clinton,31795,Floridia,Hernando,-82.3745,28.9,"136,004",0.233779889,0.002326488
Trump,58970,Floridia,Hernando,-82.3745,28.9,"136,004",0.433590189,0.004314923
All_Others,1184,Floridia,Highlands,-81.34,27.34,"64,778",0.01827781,8.66E-05
