candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,6107,Hawaii,Hawaii,-155.583,19.8968,113083,0.054004581,0.008143568
Clinton,41259,Hawaii,Hawaii,-155.583,19.8968,113083,0.364855902,0.055018089
Trump,17501,Hawaii,Hawaii,-155.583,19.8968,113083,0.154762431,0.023337249
All_Others,19768,Hawaii,Honolulu,-157.858,21.3069,498590,0.039647807,0.026360251
Clinton,175696,Hawaii,Honolulu,-157.858,21.3069,498590,0.352385728,0.234287261
Trump,90326,Hawaii,Honolulu,-157.858,21.3069,498590,0.181162879,0.120447996
All_Others,2305,Hawaii,Kauai,-159.526,22.0964,44332,0.051994045,0.003073673
Clinton,16456,Hawaii,Kauai,-159.526,22.0964,44332,0.371199134,0.021943762
Trump,7574,Hawaii,Kauai,-159.526,22.0964,44332,0.170847244,0.010099784
All_Others,5019,Hawaii,Maui,-156.332,20.7984,93912,0.053443649,0.006692741
Clinton,33480,Hawaii,Maui,-156.332,20.7984,93912,0.356503961,0.044644941
Trump,13446,Hawaii,Maui,-156.332,20.7984,93912,0.143176591,0.017929984
