candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio,
All_Others,217,Iowa,Adair,-94.6434,41.5004,5013,0.043287453,0.000137223,
Clinton,1133,Iowa,Adair,-94.6434,41.5004,5013,0.226012368,0.000716467,
Trump,2461,Iowa,Adair,-94.6434,41.5004,5013,0.490923599,0.001556245,
All_Others,146,Iowa,Adams,-94.6864,41.0652,2762,0.052860246,9.2325E-05,
Clinton,565,Iowa,Adams,-94.6864,41.0652,2762,0.204561912,0.000357285,
Trump,1395,Iowa,Adams,-94.6864,41.0652,2762,0.505068791,0.000882146,
All_Others,409,Iowa,Allamakee,-91.4435,43.2431,9585,0.04267084,0.000258636,
Clinton,2421,Iowa,Allamakee,-91.4435,43.2431,9585,0.25258216,0.00153095,
Trump,4093,Iowa,Allamakee,-91.4435,43.2431,9585,0.427021388,0.00258826,
All_Others,289,Iowa,Appanoose,-92.8577,40.6806,8396,0.034421153,0.000182753,
Clinton,1814,Iowa,Appanoose,-92.8577,40.6806,8396,0.216055264,0.001147106,
Trump,4033,Iowa,Appanoose,-92.8577,40.6806,8396,0.480347785,0.002550319,
All_Others,196,Iowa,Audubon,-94.9325,41.718,4266,0.045944679,0.000123943,
Clinton,1080,Iowa,Audubon,-94.9325,41.718,4266,0.253164557,0.000682952,
Trump,2136,Iowa,Audubon,-94.9325,41.718,4266,0.500703235,0.001350727,
All_Others,934,Iowa,Benton,-94.3583,40.7033,17264,0.054101019,0.000590627,
Clinton,4678,Iowa,Benton,-94.3583,40.7033,17264,0.270968489,0.002958193,
Trump,8232,Iowa,Benton,-94.3583,40.7033,17264,0.476830399,0.00520561,
All_Others,4696,Iowa,Black Hawk,-92.3814,42.4478,83607,0.056167546,0.002969575,
Clinton,32233,Iowa,Black Hawk,-92.3814,42.4478,83607,0.38552992,0.020382946,
Trump,27476,Iowa,Black Hawk,-92.3814,42.4478,83607,0.32863277,0.017374797,
All_Others,1171,Iowa,Boone,-93.8802,42.0597,18231,0.064231254,0.000740497,
Clinton,5541,Iowa,Boone,-93.8802,42.0597,18231,0.303932862,0.003503922,
Trump,7484,Iowa,Boone,-93.8802,42.0597,18231,0.410509572,0.004732602,
All_Others,974,Iowa,Bremer,-92.3814,42.7611,16734,0.058204852,0.000615921,
Clinton,5356,Iowa,Bremer,-92.3814,42.7611,16734,0.32006693,0.003386935,
Trump,7208,Iowa,Bremer,-92.3814,42.7611,16734,0.430739811,0.00455807,
All_Others,772,Iowa,Buchanan,-91.2468,41.765,13424,0.057508939,0.000488184,
Clinton,3970,Iowa,Buchanan,-91.2468,41.765,13424,0.295738975,0.00251048,
Trump,5510,Iowa,Buchanan,-91.2468,41.765,13424,0.41045888,0.003484318,
All_Others,519,Iowa,Buena Vista,-95.1432,42.6705,11816,0.043923494,0.000328196,
Clinton,2856,Iowa,Buena Vista,-95.1432,42.6705,11816,0.241706161,0.001806028,
Trump,4903,Iowa,Buena Vista,-95.1432,42.6705,11816,0.414945836,0.003100474,
All_Others,435,Iowa,Butler,-92.8577,42.7502,9757,0.044583376,0.000275078,
Clinton,2157,Iowa,Butler,-92.8577,42.7502,9757,0.221072051,0.001364006,
Trump,4921,Iowa,Butler,-92.8577,42.7502,9757,0.504355847,0.003111857,
All_Others,293,Iowa,Calhoun,-94.645,42.3786,6423,0.045617313,0.000185282,
Clinton,1398,Iowa,Calhoun,-94.645,42.3786,6423,0.217655301,0.000884043,
Trump,3468,Iowa,Calhoun,-94.645,42.3786,6423,0.53993461,0.002193034,
All_Others,597,Iowa,Carroll,-94.8673,42.0656,14131,0.042247541,0.000377521,
Clinton,3309,Iowa,Carroll,-94.8673,42.0656,14131,0.234166018,0.002092488,
Trump,6638,Iowa,Carroll,-94.8673,42.0656,14131,0.469747364,0.004197623,
