candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,3677,New Jersey,Atlantic,-74.6869,39.5333,175765,0.020919978,0.000210622
Clinton,60924,New Jersey,Atlantic,-74.6869,39.5333,175765,0.34662191,0.003489781
Trump,52690,New Jersey,Atlantic,-74.6869,39.5333,175765,0.299775268,0.00301813
All_Others,12556,New Jersey,Bergen,-74.077,40.9263,590057,0.0212793,0.000719219
Clinton,231211,New Jersey,Bergen,-74.077,40.9263,590057,0.391845195,0.013243973
Trump,175529,New Jersey,Bergen,-74.077,40.9263,590057,0.29747804,0.010054458
All_Others,7946,New Jersey,Burlington,-74.8649,40.0712,314352,0.025277396,0.000455154
Clinton,121725,New Jersey,Burlington,-74.8649,40.0712,314352,0.387225149,0.006972517
Trump,89272,New Jersey,Burlington,-74.8649,40.0712,314352,0.283987377,0.00511358
All_Others,7244,New Jersey,Camden,-75.1196,39.9259,348103,0.020809933,0.000414943
Clinton,146717,New Jersey,Camden,-75.1196,39.9259,348103,0.421475828,0.008404081
Trump,72631,New Jersey,Camden,-75.1196,39.9259,348103,0.208648015,0.004160369
All_Others,1526,New Jersey,Cape May,-74.906,38.9351,70888,0.021526916,8.74E-05
Clinton,18750,New Jersey,Cape May,-74.906,38.9351,70888,0.264501749,0.001074017
Trump,28446,New Jersey,Cape May,-74.906,38.9351,70888,0.401280894,0.001629412
All_Others,1780,New Jersey,Cumberland,-75.0611,39.2587,91767,0.019396951,0.00010196
Clinton,27771,New Jersey,Cumberland,-75.0611,39.2587,91767,0.302625127,0.001590748
Trump,24453,New Jersey,Cumberland,-75.0611,39.2587,91767,0.266468338,0.00140069
All_Others,6921,New Jersey,Essex,-74.2649,40.7947,535153,0.01293275,0.000396441
Clinton,240837,New Jersey,Essex,-74.2649,40.7947,535153,0.450033916,0.013795359
Trump,63176,New Jersey,Essex,-74.2649,40.7947,535153,0.118052221,0.003618778
All_Others,5128,New Jersey,Gloucester,-75.0494,39.7934,207506,0.024712538,0.000293736
Clinton,66870,New Jersey,Gloucester,-75.0494,39.7934,207506,0.322255742,0.003830373
Trump,67544,New Jersey,Gloucester,-75.0494,39.7934,207506,0.325503841,0.003868981
All_Others,6415,New Jersey,Hudson,-74.0535,40.7453,347815,0.018443713,0.000367457
Clinton,163917,New Jersey,Hudson,-74.0535,40.7453,347815,0.471276397,0.009389312
Trump,49043,New Jersey,Hudson,-74.0535,40.7453,347815,0.141003119,0.002809227
All_Others,3226,New Jersey,Hunterdon,-74.9209,40.567,96417,0.03345883,0.000184788
Clinton,28898,New Jersey,Hunterdon,-74.9209,40.567,96417,0.299718929,0.001655303
Trump,38712,New Jersey,Hunterdon,-74.9209,40.567,96417,0.401505958,0.002217458
All_Others,5561,New Jersey,Mercer,-74.7337,40.3029,235482,0.023615393,0.000318539
Clinton,104775,New Jersey,Mercer,-74.7337,40.3029,235482,0.444938467,0.006001606
Trump,46193,New Jersey,Mercer,-74.7337,40.3029,235482,0.196163613,0.002645976
All_Others,10105,New Jersey,Middlesex,-74.4927,40.5726,520319,0.019420778,0.000578823
Clinton,193044,New Jersey,Middlesex,-74.4927,40.5726,520319,0.371010861,0.011057733
Trump,122953,New Jersey,Middlesex,-74.4927,40.5726,520319,0.236303114,0.007042858
All_Others,10473,New Jersey,Monmouth,-74.124,40.2589,447716,0.023392061,0.000599903
Clinton,137181,New Jersey,Monmouth,-74.124,40.2589,447716,0.306401826,0.00785785
Trump,166723,New Jersey,Monmouth,-74.124,40.2589,447716,0.372385619,0.009550043
All_Others,9096,New Jersey,Morris,-74.5053,40.7934,352646,0.025793572,0.000521027
Clinton,115249,New Jersey,Morris,-74.5053,40.7934,352646,0.326812157,0.006601566
Trump,126071,New Jersey,Morris,-74.5053,40.7934,352646,0.357500156,0.00722146
All_Others,8133,New Jersey,Ocean,-74.0298,40.248,402458,0.02020832,0.000465866
Clinton,87150,New Jersey,Ocean,-74.0298,40.248,402458,0.216544335,0.00499203
Trump,179079,New Jersey,Ocean,-74.0298,40.248,402458,0.444963201,0.010257805
All_Others,5141,New Jersey,Passaic,-74.1285,40.8568,302861,0.016974784,0.000294481
Clinton,116759,New Jersey,Passaic,-74.1285,40.8568,302861,0.38552009,0.00668806
Trump,72902,New Jersey,Passaic,-74.1285,40.8568,302861,0.240711085,0.004175892
All_Others,1209,New Jersey,Salem,-75.4671,39.5718,44836,0.026964939,6.93E-05
Clinton,11904,New Jersey,Salem,-75.4671,39.5718,44836,0.265500937,0.000681872
Trump,16381,New Jersey,Salem,-75.4671,39.5718,44836,0.365353734,0.000938318
All_Others,5898,New Jersey,Somerset,-74.4885,40.4976,224334,0.026291155,0.000337843
Clinton,85689,New Jersey,Somerset,-74.4885,40.4976,224334,0.381970633,0.004908343
Trump,65505,New Jersey,Somerset,-74.4885,40.4976,224334,0.291997646,0.003752185
All_Others,2916,New Jersey,Sussex,-74.6077,41.2098,103896,0.028066528,0.000167031
Clinton,24212,New Jersey,Sussex,-74.6077,41.2098,103896,0.233040733,0.001386885
Trump,46658,New Jersey,Sussex,-74.6077,41.2098,103896,0.449083699,0.002672612
All_Others,6447,New Jersey,Union,-74.2632,40.6976,329166,0.019585862,0.00036929
Clinton,147414,New Jersey,Union,-74.2632,40.6976,329166,0.447840907,0.008444006
Trump,68114,New Jersey,Union,-74.2632,40.6976,329166,0.206929027,0.003901631
All_Others,2097,New Jersey,Warren,-74.5005,40.6342,77739,0.026974877,0.000120118
Clinton,17281,New Jersey,Warren,-74.5005,40.6342,77739,0.222295116,0.000989871
Trump,29858,New Jersey,Warren,-74.5005,40.6342,77739,0.384080063,0.001710293
