candidate,votes,State,County,longitude,latitude,RegisteredVoters,CountyRatio,VoterRatio
All_Others,3210,New York, Albany,-73.7562,42.6526,176244,0.01821339,9.97E-05
Clinton,83071,New York, Albany,-73.7562,42.6526,176244,0.47134087,0.002580947
Trump,47808,New York, Albany,-73.7562,42.6526,176244,0.2712603,0.001485355
All_Others,3521,New York, Allegany,-78.4942,42.0901,24503,0.14369669,0.000109395
Clinton,4882,New York, Allegany,-78.4942,42.0901,24503,0.19924091,0.00015168
Trump,12525,New York, Allegany,-78.4942,42.0901,24503,0.5111619,0.000389141
All_Others,11205,New York, Bronx,-73.8648,40.8448,632659,0.01771096,0.00034813
Clinton,353646,New York, Bronx,-73.8648,40.8448,632659,0.55898359,0.010987489
Trump,37797,New York, Bronx,-73.8648,40.8448,632659,0.05974308,0.001174322
All_Others,2792,New York, Broome,-74.2884,42.4917,111047,0.02514251,8.67E-05
Clinton,39212,New York, Broome,-74.2884,42.4917,111047,0.35311175,0.001218284
Trump,40943,New York, Broome,-74.2884,42.4917,111047,0.36869974,0.001272065
All_Others,1798,New York, Cattaraugus,-78.8681,42.3292,44240,0.04064195,5.59E-05
Clinton,9497,New York, Cattaraugus,-78.8681,42.3292,44240,0.21466998,0.000295064
Trump,19692,New York, Cattaraugus,-78.8681,42.3292,44240,0.44511754,0.000611814
All_Others,2704,New York, Cayuga,-76.7263,42.919,44630,0.06058705,8.40E-05
Clinton,13522,New York, Cayuga,-76.7263,42.919,44630,0.30298006,0.000420117
Trump,17384,New York, Cayuga,-76.7263,42.919,44630,0.38951378,0.000540107
All_Others,2204,New York, Chautauqua,-79.4668,42.2098,75879,0.02904624,6.85E-05
Clinton,19091,New York, Chautauqua,-79.4668,42.2098,75879,0.25159794,0.000593142
Trump,31594,New York, Chautauqua,-79.4668,42.2098,75879,0.41637344,0.000981599
All_Others,1379,New York, Chemung,-76.6238,42.0084,49825,0.02767687,4.28E-05
Clinton,13757,New York, Chemung,-76.6238,42.0084,49825,0.27610637,0.000427419
Trump,20097,New York, Chemung,-76.6238,42.0084,49825,0.40335173,0.000624397
All_Others,1670,New York, Chenango,-75.8766,42.2015,28277,0.0590586,5.19E-05
Clinton,6775,New York, Chenango,-75.8766,42.2015,28277,0.23959402,0.000210494
Trump,11921,New York, Chenango,-75.8766,42.2015,28277,0.42157938,0.000370376
All_Others,1557,New York, Clinton,-75.3785,43.0484,45775,0.0340142,4.84E-05
Clinton,15059,New York, Clinton,-75.3785,43.0484,45775,0.3289787,0.000467871
Trump,14449,New York, Clinton,-75.3785,43.0484,45775,0.31565265,0.000448918
All_Others,1555,New York, Columbia,-73.9626,40.8075,39760,0.03910966,4.83E-05
Clinton,15284,New York, Columbia,-73.9626,40.8075,39760,0.38440644,0.000474861
Trump,13756,New York, Columbia,-73.9626,40.8075,39760,0.34597586,0.000427388
All_Others,1024,New York, Cortland,-76.1805,42.6012,26709,0.03833914,3.18E-05
Clinton,8771,New York, Cortland,-76.1805,42.6012,26709,0.32839118,0.000272508
Trump,9900,New York, Cortland,-76.1805,42.6012,26709,0.37066157,0.000307585
All_Others,3977,New York, Delaware,-75.0027,41.7682,26347,0.15094698,0.000123562
Clinton,6627,New York, Delaware,-75.0027,41.7682,26347,0.25152769,0.000205895
Trump,11942,New York, Delaware,-75.0027,41.7682,26347,0.45325844,0.000371028
All_Others,14706,New York, Dutchess,-73.7478,41.7784,171145,0.08592714,0.000456903
Clinton,62261,New York, Dutchess,-73.7478,41.7784,171145,0.36379094,0.001934398
Trump,61797,New York, Dutchess,-73.7478,41.7784,171145,0.36107979,0.001919982
All_Others,7095,New York, Erie,-78.8662,42.9024,570381,0.01243905,0.000220436
Clinton,215456,New York, Erie,-78.8662,42.9024,570381,0.37774049,0.00669404
Trump,188303,New York, Erie,-78.8662,42.9024,570381,0.33013547,0.005850419
All_Others,1137,New York, Essex,-73.3526,44.3101,23631,0.04811476,3.53E-05
Clinton,7762,New York, Essex,-73.3526,44.3101,23631,0.32846684,0.000241159
Trump,7958,New York, Essex,-73.3526,44.3101,23631,0.33676103,0.000247248
All_Others,1138,New York, Franklin,-75.1652,42.3406,24846,0.04580214,3.54E-05
Clinton,7297,New York, Franklin,-75.1652,42.3406,24846,0.29368913,0.000226712
Trump,8221,New York, Franklin,-75.1652,42.3406,24846,0.33087821,0.00025542
All_Others,1630,New York, Fulton,-76.4172,43.3228,31432,0.05185798,5.06E-05
Clinton,6496,New York, Fulton,-76.4172,43.3228,31432,0.20666836,0.000201825
Trump,13462,New York, Fulton,-76.4172,43.3228,31432,0.42828964,0.000418253
All_Others,971,New York, Genesee,-78.2704,42.047,35882,0.02706092,3.02E-05
Clinton,7650,New York, Genesee,-78.2704,42.047,35882,0.21319882,0.000237679
Trump,16915,New York, Genesee,-78.2704,42.047,35882,0.47140628,0.000525535
All_Others,561,New York, Greene,-75.7699,42.3292,28851,0.01944473,1.74E-05
Clinton,7405,New York, Greene,-75.7699,42.3292,28851,0.25666355,0.000230067
Trump,13073,New York, Greene,-75.7699,42.3292,28851,0.45312121,0.000406167
All_Others,1046,New York, Hamilton,-75.5446,42.827,4245,0.24640754,3.25E-05
Clinton,949,New York, Hamilton,-75.5446,42.827,4245,0.22355713,2.95E-05
Trump,2064,New York, Hamilton,-75.5446,42.827,4245,0.48621908,6.41E-05
All_Others,2073,New York, Herkimer,-74.986,43.0256,37158,0.05578879,6.44E-05
Clinton,8083,New York, Herkimer,-74.986,43.0256,37158,0.21753055,0.000251132
Trump,16699,New York, Herkimer,-74.986,43.0256,37158,0.44940524,0.000518824
All_Others,1113,New York, Jefferson,-74.6103,42.4813,53419,0.02083528,3.46E-05
Clinton,13809,New York, Jefferson,-74.6103,42.4813,53419,0.25850353,0.000429034
Trump,21763,New York, Jefferson,-74.6103,42.4813,53419,0.40740186,0.000676158
All_Others,21340,New York, Kings,-73.9595,40.6529,1186533,0.01798517,0.000663016
Clinton,640553,New York, Kings,-73.9595,40.6529,1186533,0.53985266,0.019901452
Trump,141044,New York, Kings,-73.9595,40.6529,1186533,0.11887069,0.004382121
All_Others,1408,New York, Lewis,-73.5656,44.275,16605,0.08479374,4.37E-05
Clinton,3146,New York, Lewis,-73.5656,44.275,16605,0.18946101,9.77E-05
