candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,764,Oregon,Baker,-117.834,44.7749,11036,0.069,0.000297438
Clinton,1797,Oregon,Baker,-117.834,44.7749,11036,0.163,0.000699602
Trump,6218,Oregon,Baker,-117.834,44.7749,11036,0.563428779,0.002420772
All_Others,6115,Oregon,Benton,-123.387,44.6282,58870,0.104,0.002380672
Clinton,29193,Oregon,Benton,-123.387,44.6282,58870,0.496,0.011365326
Trump,13445,Oregon,Benton,-123.387,44.6282,58870,0.228,0.005234365
All_Others,23552,Oregon,Clackamas,-122.57,45.4076,270102,0.087,0.00916919
Clinton,102095,Oregon,Clackamas,-122.57,45.4076,270102,0.378,0.039747302
Trump,88392,Oregon,Clackamas,-122.57,45.4076,270102,0.327,0.034412494
All_Others,2274,Oregon,Clatsop,-123.765,46.0211,25140,0.09,0.000885306
Clinton,9252,Oregon,Clatsop,-123.765,46.0211,25140,0.368,0.003601959
Trump,8138,Oregon,Clatsop,-123.765,46.0211,25140,0.324,0.00316826
All_Others,3234,Oregon,Columbia,-123.036,45.9197,35138,0.092,0.001259051
Clinton,10167,Oregon,Columbia,-123.036,45.9197,35138,0.289,0.003958184
Trump,13217,Oregon,Columbia,-123.036,45.9197,35138,0.376,0.005145601
All_Others,3000,Oregon,Coos,-124.106,43.2429,40651,0.074,0.001167951
Clinton,10448,Oregon,Coos,-124.106,43.2429,40651,0.257,0.004067582
Trump,17865,Oregon,Coos,-124.106,43.2429,40651,0.439,0.006955145
All_Others,1024,Oregon,Crook,-120.096,44.0978,15410,0.066,0.00039866
Clinton,2637,Oregon,Crook,-120.096,44.0978,15410,0.171,0.001026628
Trump,8511,Oregon,Crook,-120.096,44.0978,15410,0.552,0.003313476
All_Others,1099,Oregon,Curry,-124.278,42.5441,16008,0.069,0.000427859
Clinton,4300,Oregon,Curry,-124.278,42.5441,16008,0.269,0.001674062
Trump,7212,Oregon,Curry,-124.278,42.5441,16008,0.451,0.002807753
All_Others,10421,Oregon,Deschutes,-121.262,43.8325,122919,0.085,0.004057071
Clinton,42444,Oregon,Deschutes,-121.262,43.8325,122919,0.345,0.016524164
Trump,45692,Oregon,Deschutes,-121.262,43.8325,122919,0.372,0.017788665
All_Others,4843,Oregon,Douglas,-123.249,43.1261,71384,0.068,0.001885461
Clinton,14096,Oregon,Douglas,-123.249,43.1261,71384,0.197,0.00548781
Trump,34582,Oregon,Douglas,-123.249,43.1261,71384,0.484,0.013463355
