candidate,votes,state,county,longitude,latitude,registered_voters,county_voter_ratio,state_voter_ratio
All_Others,1847,Pennsylvania,Adams,-77.2865,39.8522,66718,0.027683684,0.00021174
Clinton,14219,Pennsylvania,Adams,-77.2865,39.8522,66718,0.213120897,0.001630063
Trump,31423,Pennsylvania,Adams,-77.2865,39.8522,66718,0.470982344,0.003602325
All_Others,23017,Pennsylvania,Allegheny,-80.0088,40.4451,924631,0.024893174,0.002638663
Clinton,367617,Pennsylvania,Allegheny,-80.0088,40.4451,924631,0.397582387,0.042143525
Trump,259480,Pennsylvania,Allegheny,-80.0088,40.4451,924631,0.280630868,0.029746725
All_Others,956,Pennsylvania,Armstrong,-79.4704,40.8791,42552,0.022466629,0.000109596
Clinton,7178,Pennsylvania,Armstrong,-79.4704,40.8791,42552,0.168687723,0.000822884
Trump,23484,Pennsylvania,Armstrong,-79.4704,40.8791,42552,0.551889453,0.0026922
All_Others,2873,Pennsylvania,Beaver,-80.3048,40.6953,113598,0.025290938,0.00032936
Clinton,32531,Pennsylvania,Beaver,-80.3048,40.6953,113598,0.286369478,0.003729346
Trump,48167,Pennsylvania,Beaver,-80.3048,40.6953,113598,0.424012747,0.005521853
All_Others,440,Pennsylvania,Bedford,-78.5039,40.0187,34460,0.012768427,5.04E-05
Clinton,3645,Pennsylvania,Bedford,-78.5039,40.0187,34460,0.105774811,0.000417862
Trump,19552,Pennsylvania,Bedford,-78.5039,40.0187,34460,0.567382472,0.002241437
All_Others,8002,Pennsylvania,Berks,-75.9928,40.3452,259800,0.030800616,0.000917347
Clinton,78437,Pennsylvania,Berks,-75.9928,40.3452,259800,0.30191301,0.008991999
Trump,96626,Pennsylvania,Berks,-75.9928,40.3452,259800,0.371924557,0.011077182
All_Others,1816,Pennsylvania,Blair,-78.3842,40.4531,77834,0.023331706,0.000208186
Clinton,13958,Pennsylvania,Blair,-78.3842,40.4531,77834,0.17933037,0.001600142
Trump,39135,Pennsylvania,Blair,-78.3842,40.4531,77834,0.502800833,0.004486427
All_Others,1198,Pennsylvania,Bradford,-78.6492,41.9565,37649,0.031820234,0.000137338
Clinton,6369,Pennsylvania,Bradford,-78.6492,41.9565,37649,0.16916784,0.000730141
Trump,18141,Pennsylvania,Bradford,-78.6492,41.9565,37649,0.481845467,0.00207968
All_Others,12876,Pennsylvania,Bucks,-75.2479,40.4108,460832,0.027940768,0.001476102
Clinton,167060,Pennsylvania,Bucks,-75.2479,40.4108,460832,0.362518228,0.019151719
Trump,164361,Pennsylvania,Bucks,-75.2479,40.4108,460832,0.35666143,0.018842306
All_Others,4059,Pennsylvania,Butler,-79.8953,40.8612,129728,0.031288542,0.000465323
